<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QQQ,60,240723,130000,481.21,482.16,480.46,481.97,106248
QQQ,60,240723,140000,481.95,482.35,481.15,481.84,69028
QQQ,60,240723,150000,481.84,482.3,480.17,480.61,203343
QQQ,60,240724,90000,473.8,474.12,470.56,470.88,355940
QQQ,60,240724,100000,470.78,471.03,468.45,469.02,331909
QQQ,60,240724,110000,468.96,469.16,467.13,467.18,240286
QQQ,60,240724,120000,467.07,467.33,465.91,466.39,283865
QQQ,60,240724,130000,466.29,467.65,465.96,466.24,208772
QQQ,60,240724,140000,466.2,466.44,463.89,464.48,236848
QQQ,60,240724,150000,464.465,465.86,462.55,463.33,972111
QQQ,60,240725,90000,463.72,463.95,458.88,459.2,339418
QQQ,60,240725,100000,459.17,463.71,455.66,463.71,859812
QQQ,60,240725,110000,463.66,465.22,462,464.19,293088
QQQ,60,240725,120000,464.2,467.2,463.14,466.57,266261
QQQ,60,240725,130000,466.65,467.88,464.45,465.45,174871
QQQ,60,240725,140000,465.61,465.61,461.2,461.57,218137
QQQ,60,240725,150000,461.59,464.4,458.06,458.29,623813
QQQ,60,240726,90000,462.71,462.71,460.25,461.92,228803
QQQ,60,240726,100000,461.91,463.35,459.78,461.82,339408
QQQ,60,240726,110000,461.81,463.44,461,463.22,308048
QQQ,60,240726,120000,463.23,465.71,463.1,465.43,382190
QQQ,60,240726,130000,465.47,465.92,462.44,463.47,388414
QQQ,60,240726,140000,463.44,464.09,461.62,461.91,163117
QQQ,60,240726,150000,461.88,463.33,461.27,463,347675
QQQ,60,240729,90000,465.71,467.65,464.27,467.45,229272
QQQ,60,240729,100000,467.43,467.91,464.12,464.22,193115
QQQ,60,240729,110000,464.15,465.36,461.69,465.1,193574
QQQ,60,240729,120000,465.17,467.03,465.17,466.14,200765
QQQ,60,240729,130000,466.24,467.19,464.74,464.96,175014
QQQ,60,240729,140000,464.83,464.87,463.29,464.13,159074
QQQ,60,240729,150000,464.12,465.23,463.59,463.85,248015
QQQ,60,240730,90000,465.86,466.55,463.87,464.34,182107
QQQ,60,240730,100000,464.33,464.72,461.29,461.4,211200
QQQ,60,240730,110000,461.52,461.58,457.14,457.21,299916
QQQ,60,240730,120000,457.33,458.2,454.38,454.48,183027
QQQ,60,240730,130000,454.61,457.71,454.19,457.42,211903
QQQ,60,240730,140000,457.53,458.87,457.1,457.78,143149
QQQ,60,240730,150000,457.78,459.22,456.58,457.38,431584
QQQ,60,240731,90000,467.87,468.88,466.47,468.4,654972
QQQ,60,240731,100000,468.39,470.8,468.05,469.83,314517
QQQ,60,240731,110000,469.8,471.36,469.6,470.26,149693
QQQ,60,240731,120000,470.27,470.76,469.18,469.26,87749
QQQ,60,240731,130000,469.22,470.51,467.34,469.19,186127
QQQ,60,240731,140000,469.31,472.72,468.55,472.26,290246
QQQ,60,240731,150000,472.46,472.78,469.06,471.08,700347
QQQ,60,240801,90000,471.79,475.55,471.34,474.73,279430
QQQ,60,240801,100000,474.62,475.1,467.08,467.33,388283
QQQ,60,240801,110000,467.3,467.55,462.66,462.95,470996
QQQ,60,240801,120000,463.05,464.86,460.98,461.44,334484
QQQ,60,240801,130000,461.28,461.71,457.06,459.61,322830
QQQ,60,240801,140000,459.6,459.94,455.98,456.51,291119
QQQ,60,240801,150000,456.35,460.59,456.35,459.77,617717
QQQ,60,240802,90000,450.89,453.5,448.3,449.28,627230
QQQ,60,240802,100000,449.14,450.1,444.52,445.43,1098952
QQQ,60,240802,110000,445.48,450.33,444.96,449.58,598099
