<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240423,110000,505.22,505.33,504.06,504.3,617629
SPY,60,240423,120000,504.33,505.58,504.23,505.2,489142
SPY,60,240423,130000,505.19,506.06,504.58,505.97,444182
SPY,60,240423,140000,505.97,506.07,505.26,505.73,410808
SPY,60,240423,150000,505.71,505.78,504.97,505.69,1183620
SPY,60,240424,90000,506.56,507.37,505.93,506.22,491402
SPY,60,240424,100000,506.29,507.13,504.98,505.17,425780
SPY,60,240424,110000,505.3,505.38,503.61,503.75,551237
SPY,60,240424,120000,503.73,504.4,503.13,504.32,418723
SPY,60,240424,130000,504.32,506.53,504.07,506.43,400568
SPY,60,240424,140000,506.47,506.5,504.42,504.44,352868
SPY,60,240424,150000,504.44,506.18,504.24,505.46,699394
SPY,60,240425,90000,499.18,499.35,497.87,498.18,563060
SPY,60,240425,100000,498.2,499.82,497.51,498.43,653408
SPY,60,240425,110000,498.4,500.4,498.36,500.32,475685
SPY,60,240425,120000,500.25,502.04,499.91,501.78,452419
SPY,60,240425,130000,501.77,503.81,500.98,503.49,543856
SPY,60,240425,140000,503.51,503.71,501.69,502.48,668658
SPY,60,240425,150000,502.5,504.26,502.45,503.44,950122
SPY,60,240426,90000,506.35,508.23,505.71,507.81,460412
SPY,60,240426,100000,507.84,509.01,507.65,508.76,627542
SPY,60,240426,110000,508.8,509.54,507.73,508.62,586133
SPY,60,240426,120000,508.62,509.56,508.16,509.56,431114
SPY,60,240426,130000,509.57,509.88,509.1,509.4,393837
SPY,60,240426,140000,509.47,509.48,508.58,509.4,381446
SPY,60,240426,150000,509.4,509.64,508.16,508.23,1176090
SPY,60,240429,90000,510.09,510.75,509.02,509.57,423859
SPY,60,240429,100000,509.59,510.63,509.55,509.9,320173
SPY,60,240429,110000,509.87,509.93,509.01,509.74,226514
SPY,60,240429,120000,509.66,510.32,509.57,509.94,187774
SPY,60,240429,130000,509.94,510.51,509.58,510.19,178516
SPY,60,240429,140000,510.14,510.14,508.6,509.55,392619
SPY,60,240429,150000,509.535,510.19,507.25,510.05,1002596
SPY,60,240430,90000,508.55,509.5,508.2,509.15,245380
SPY,60,240430,100000,509.16,509.54,508.11,508.63,361117
SPY,60,240430,110000,508.63,508.65,506.04,506.61,572939
SPY,60,240430,120000,506.6,507.02,504.81,505.29,507236
SPY,60,240430,130000,505.3,506.26,504.71,506.12,437692
SPY,60,240430,140000,506.14,506.54,504.4,504.8,507606
SPY,60,240430,150000,504.79,505.28,502.05,502.07,1485042
SPY,60,240501,90000,501.38,501.82,500.43,500.81,298192
SPY,60,240501,100000,500.83,501.57,500.1,501.34,466052
SPY,60,240501,110000,501.31,501.48,500.05,500.22,369589
SPY,60,240501,120000,500.23,501.1,499.87,500.42,221592
SPY,60,240501,130000,500.44,501.39,499.93,500.98,267372
SPY,60,240501,140000,501.01,507.41,500.76,507.26,1315294
SPY,60,240501,150000,507.35,508.18,500.09,500.25,2182831
SPY,60,240502,90000,504.15,504.68,501.67,501.94,373240
SPY,60,240502,100000,501.96,502.64,499.58,502.44,534616
SPY,60,240502,110000,502.45,503.12,501.38,502.79,388917
SPY,60,240502,120000,502.78,502.86,501.34,502.23,347975
SPY,60,240502,130000,502.33,504.38,502.31,503.85,374845
SPY,60,240502,140000,503.88,505.63,503.69,505.45,474894
SPY,60,240502,150000,505.47,505.875,503.87,505,1266710
SPY,60,240503,90000,511.14,511.98,509.61,511.55,634389
SPY,60,240503,100000,511.59,512.49,508.65,509.18,891917
SPY,60,240503,110000,509.19,510.91,508.56,510.47,504797
SPY,60,240503,120000,510.51,511.38,510.42,510.69,369772
SPY,60,240503,130000,510.73,511.61,510.6,511.29,312694
SPY,60,240503,140000,511.31,511.99,511.25,511.54,363507
SPY,60,240503,150000,511.54,511.84,511.14,511.29,1081502
SPY,60,240506,90000,513.75,514.35,513.32,514.2,358872
SPY,60,240506,100000,514.21,514.63,514.04,514.3,352778
SPY,60,240506,110000,514.28,514.53,513.85,514.36,282505
SPY,60,240506,120000,514.34,514.72,513.76,514.67,295550
SPY,60,240506,130000,514.68,515.03,514.25,514.88,286425
SPY,60,240506,140000,514.88,515.76,514.83,515.41,391270
SPY,60,240506,150000,515.4,516.61,514.89,516.58,949759
SPY,60,240507,90000,517.56,517.92,517.17,517.19,331270
SPY,60,240507,100000,517.22,518.23,516.95,518.13,348439
SPY,60,240507,110000,518.14,518.28,517.7,518.08,304103
SPY,60,240507,120000,518.09,518.29,517.58,517.87,221738
SPY,60,240507,130000,517.9,518.57,516.8,517.04,370962
SPY,60,240507,140000,517,517.43,516.45,517.01,434166
SPY,60,240507,150000,517.02,517.86,516.69,517.2,1154576
