,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
1634,ETHUSDT,60,240309,20000,3902.0,3925.66,3899.32,3918.15,12324.0696,0.41389031266017656
1635,ETHUSDT,60,240309,30000,3918.14,3929.0,3911.33,3923.21,8994.2571,0.12939813278750031
1636,ETHUSDT,60,240309,40000,3923.22,3931.39,3918.28,3925.55,7488.4791,0.05938999087485234
1637,ETHUSDT,60,240309,50000,3925.55,3927.79,3912.05,3918.41,8287.7968,-0.18188534090765185
1638,ETHUSDT,60,240309,60000,3918.4,3940.0,3917.51,3937.97,11177.9816,0.4994385463454397
1639,ETHUSDT,60,240309,70000,3937.98,3942.0,3925.4,3925.47,9377.5759,-0.31767555955084126
1640,ETHUSDT,60,240309,80000,3925.46,3936.0,3922.68,3922.89,9050.4914,-0.06547003408518144
1641,ETHUSDT,60,240309,90000,3922.88,3930.6,3906.86,3919.79,11822.4003,-0.0787686597601799
1642,ETHUSDT,60,240309,100000,3919.79,3920.0,3887.99,3906.86,17710.8335,-0.32986461009390394
1643,ETHUSDT,60,240309,110000,3906.85,3917.81,3904.44,3912.49,9265.9986,0.14436182602351955
1644,ETHUSDT,60,240309,120000,3912.5,3919.73,3901.62,3917.91,10457.9496,0.13827476038338285
1645,ETHUSDT,60,240309,130000,3917.9,3927.05,3910.37,3916.42,11783.0705,-0.03777533882947544
1646,ETHUSDT,60,240309,140000,3916.42,3924.64,3907.31,3909.06,10481.5451,-0.18792672900251065
1647,ETHUSDT,60,240309,150000,3909.07,3921.57,3905.82,3916.66,7485.9974,0.1941638292483811
1648,ETHUSDT,60,240309,160000,3916.66,3920.22,3874.08,3884.44,23365.7022,-0.8226396981101194
1649,ETHUSDT,60,240309,170000,3884.45,3894.11,3870.01,3883.07,15212.6997,-0.035526264979589245
1650,ETHUSDT,60,240309,180000,3883.07,3893.4,3878.41,3889.37,10265.3587,0.16224276152631106
1651,ETHUSDT,60,240309,190000,3889.36,3891.76,3878.02,3881.18,8609.6765,-0.21031737869470274
1652,ETHUSDT,60,240309,200000,3881.18,3900.75,3881.17,3900.68,6824.2445,0.5024245203778233
1653,ETHUSDT,60,240309,210000,3900.67,3907.64,3892.1,3904.2,6027.4699,0.09049727354530748
1654,ETHUSDT,60,240309,220000,3904.19,3912.0,3896.32,3901.08,6912.3952,-0.07965800844733806
1655,ETHUSDT,60,240309,230000,3901.07,3912.68,3898.0,3905.21,10249.9711,0.1061247298817984
