status_code,error,page_rank_integer,page_rank_decimal,rank,domain,website
200,,5,4.81,546853,cnyhomepage.com,www.cnyhomepage.com
200,,4,3.6,3716918,ethioobserver.net,ethioobserver.net
200,,5,5.21,59887,mangalorean.com,www.mangalorean.com
200,,7,6.84,814,webmd.com,www.webmd.com
200,,5,4.79,591628,southernhighlandnews.com.au,www.southernhighlandnews.com.au
200,,5,4.78,660793,wbwn.com,www.wbwn.com
200,,6,5.5,20743,lasvegasweekly.com,lasvegasweekly.com
200,,5,5.25,50941,liveforlivemusic.com,liveforlivemusic.com
200,,5,5.08,94412,mcknights.com,www.mcknights.com
200,,5,4.96,154607,fashiontimes.com,www.fashiontimes.com
200,,5,4.98,146263,qns.com,qns.com
200,,3,3.48,4329774,kkyr.com,kkyr.com
200,,6,5.68,13119,beliefnet.com,www.beliefnet.com
200,,5,4.78,668710,presspublications.com,www.presspublications.com
200,,1,1.27,85454364,al-awassef.com,al-awassef.com
200,,5,5.06,101449,bradblog.com,bradblog.com
200,,5,5.19,64175,gasworld.com,www.gasworld.com
200,,5,4.78,637121,coloradohometownweekly.com,www.coloradohometownweekly.com
200,,5,5.04,112779,sloveniatimes.com,sloveniatimes.com
200,,5,5.09,91657,worthynews.com,www.worthynews.com
200,,4,3.58,3875820,dziennikzwiazkowy.com,dziennikzwiazkowy.com
200,,5,4.85,469923,longmontleader.com,www.longmontleader.com
200,,4,4.06,1784071,nationwidereport.com,www.nationwidereport.com
200,,5,5.06,100850,mynewsla.com,mynewsla.com
200,,5,4.83,492870,eng.obozrevatel.com,eng.obozrevatel.com
200,,5,5.15,73080,dailycollegian.com,dailycollegian.com
200,,5,4.89,319445,keprtv.com,keprtv.com
200,,5,4.87,359749,dailylobo.com,www.dailylobo.com
200,,6,6.33,5003,appleinsider.com,appleinsider.com
200,,5,5.23,53842,topspeed.com,www.topspeed.com
200,,3,3.46,4457848,953wdae.iheart.com,953wdae.iheart.com
200,,7,7.31,355,billboard.com,www.billboard.com
200,,5,4.87,446840,hudsonriverblue.com,hudsonriverblue.com
200,,5,4.97,147880,planetf1.com,www.planetf1.com
200,,3,3.14,8609758,kfqd.com,www.kfqd.com
200,,3,3.03,9712577,hits961.iheart.com,hits961.iheart.com
200,,5,4.77,718851,obituaries.thedailystar.com,obituaries.thedailystar.com
200,,6,5.5,21124,10tv.com,www.10tv.com
200,,5,4.81,552265,hidesertstar.com,www.hidesertstar.com
200,,5,4.76,924837,nextedition.com.ng,www.nextedition.com.ng
200,,5,4.8,559957,prpeak.com,www.prpeak.com
200,,5,5.28,43828,countercurrents.org,countercurrents.org
200,,5,4.86,453866,thurstontalk.com,www.thurstontalk.com
200,,4,4.37,1424955,svinews.com,svinews.com
200,,4,3.89,2109963,myk104.com,www.myk104.com
200,,5,5.11,82988,gwinnettdailypost.com,www.gwinnettdailypost.com
200,,6,5.73,11596,wreg.com,wreg.com
