Date,Close/Last,Volume,Open,High,Low,Pct_Change
2017-10-27,257.71,85252510,256.47,257.89,255.6254,0.82
2017-10-30,256.75,54223350,257.07,257.6,256.41,-0.37
2017-10-31,257.15,59193910,257.18,257.44,256.805,0.16
2017-11-01,257.49,54104920,258.04,258.43,257.07,0.13
2017-11-02,257.59,56264600,257.41,257.75,256.19,0.04
2017-11-03,258.45,59484150,257.77,258.5,257.3,0.33
2017-11-06,258.85,49529150,258.3,259.0,258.22,0.15
2017-11-07,258.67,57178400,258.97,259.35,258.09,-0.07
2017-11-08,259.11,50277640,258.47,259.22,258.15,0.17
2017-11-09,258.17,94490930,257.73,258.39,256.36,-0.36
2017-11-10,258.09,59830970,257.73,258.2926,257.37,-0.03
2017-11-13,258.33,50040800,257.31,258.59,257.27,0.09
2017-11-14,257.73,61082090,257.41,257.85,256.52,-0.23
2017-11-15,256.44,80248990,256.62,257.22,255.63,-0.5
2017-11-16,258.62,67487850,257.52,259.04,257.4748,0.85
2017-11-17,257.86,75679800,258.22,258.5882,257.77,-0.29
2017-11-20,258.3,47835520,258.14,258.525,257.86,0.17
2017-11-21,259.99,68920380,259.18,260.2,258.2627,0.65
2017-11-22,259.76,44890370,260.0,260.15,259.57,-0.09
2017-11-24,260.36,27856510,260.32,260.48,260.16,0.23
2017-11-27,260.23,52070370,260.41,260.75,260.0,-0.05
2017-11-28,262.87,98662580,260.76,262.9,260.655,1.01
2017-11-29,262.71,77179920,263.02,263.63,262.2,-0.06
2017-11-30,265.01,126401000,263.76,266.05,263.67,0.88
2017-12-01,264.46,163874800,264.76,265.31,260.76,-0.21
2017-12-04,264.14,93827280,266.31,266.8,264.08,-0.12
2017-12-05,263.19,77839930,264.43,265.15,263.04,-0.36
2017-12-06,263.24,75513050,262.87,263.73,262.71,0.02
2017-12-07,264.07,76832360,263.09,264.43,262.94,0.32
2017-12-08,265.51,76301480,264.99,265.52,264.0315,0.55
2017-12-11,266.31,82848590,265.58,266.38,265.4793,0.3
2017-12-12,266.78,84494560,266.57,267.32,266.345,0.18
2017-12-13,266.75,102819600,267.06,267.56,266.65,-0.01
2017-12-14,265.66,99647210,267.09,267.22,265.6,-0.41
2017-12-15,266.51,142356000,265.45,267.04,265.39,0.32
2017-12-18,268.2,83360810,268.1,268.6,267.98,0.63
2017-12-19,267.17,78001550,268.48,268.53,267.09,-0.38
2017-12-20,267.03,76604710,268.27,268.33,266.69,-0.05
2017-12-21,267.58,65925710,267.74,268.385,267.3,0.21
2017-12-22,267.51,78657310,267.6,267.635,266.9,-0.03
2017-12-26,267.19,45106430,267.05,267.4377,266.885,-0.12
2017-12-27,267.32,57677280,267.38,267.73,267.01,0.05
2017-12-28,267.87,44797000,267.89,267.92,267.45,0.21
2017-12-29,266.86,95651160,268.53,268.55,266.64,-0.38
2018-01-02,268.77,86408820,267.84,268.81,267.4,0.72
2018-01-03,270.47,89133670,268.96,270.64,268.96,0.63
2018-01-04,271.61,80455860,271.2,272.16,270.5447,0.42
2018-01-05,273.42,82724160,272.51,273.56,271.95,0.67
2018-01-08,273.92,57116850,273.31,274.1,272.98,0.18
2018-01-09,274.54,57114650,274.4,275.25,274.081,0.23
2018-01-10,274.12,69394220,273.68,274.42,272.92,-0.15
2018-01-11,276.12,62236650,274.75,276.12,274.56,0.73
2018-01-12,277.92,90463870,276.42,278.11,276.0819,0.65
2018-01-16,276.97,106269200,279.35,280.09,276.18,-0.34
2018-01-17,279.61,112844200,278.03,280.05,276.97,0.95
2018-01-18,279.14,100397600,279.48,279.96,278.58,-0.17
2018-01-19,280.41,141303100,279.8,280.41,279.14,0.45
2018-01-22,282.69,91146870,280.17,282.69,280.11,0.81
2018-01-23,283.29,96892090,282.74,283.62,282.37,0.21
2018-01-24,283.18,134617200,284.02,284.7,281.84,-0.04
2018-01-25,283.3,84342320,284.16,284.27,282.405,0.04
2018-01-26,286.58,107598800,284.25,286.6285,283.96,1.16
2018-01-29,284.68,89891820,285.93,286.43,284.5,-0.66
2018-01-30,281.76,131479000,282.6,284.736,281.22,-1.03
2018-01-31,281.9,118655600,282.73,283.3,280.68,0.05
2018-02-01,281.58,89757330,281.07,283.06,280.68,-0.11
2018-02-02,275.45,172897100,280.08,280.23,275.41,-2.18
2018-02-05,263.93,292453400,273.45,275.85,263.31,-4.18
2018-02-06,269.13,353681700,259.94,269.7,258.7,1.97
2018-02-07,267.67,166678000,268.5,272.36,267.58,-0.54
2018-02-08,257.63,244841900,268.01,268.17,257.59,-3.75
2018-02-09,261.5,283273100,260.8,263.61,252.92,1.5
2018-02-12,265.34,140752800,263.83,267.01,261.6644,1.47
2018-02-13,266.0,81055770,263.97,266.62,263.31,0.25
2018-02-14,269.59,120406400,264.31,270.0,264.3,1.35
2018-02-15,273.03,110226800,271.57,273.04,268.77,1.28
2018-02-16,273.11,160341500,272.32,275.32,272.27,0.03
2018-02-20,271.4,85431860,272.03,273.67,270.5,-0.63
2018-02-21,270.05,97671020,271.9,274.72,269.94,-0.5
2018-02-22,270.4,108484800,271.1,273.05,269.64,0.13
2018-02-23,274.71,92045650,271.79,274.71,271.25,1.59
2018-02-26,277.9,85166420,275.93,278.01,275.26,1.16
2018-02-27,274.43,98302760,278.11,278.92,274.36,-1.25
2018-02-28,271.65,121488400,275.68,276.19,271.29,-1.01
2018-03-01,267.7,176457600,271.41,273.17,266.0,-1.45
2018-03-02,269.08,138968000,265.8,269.72,264.82,0.52
2018-03-05,272.19,96744650,267.73,272.89,267.61,1.16
2018-03-06,272.88,75247670,273.3,273.39,271.18,0.25
2018-03-07,272.78,86910350,270.42,273.18,270.2,-0.04
2018-03-08,274.1,66585910,273.55,274.24,272.42,0.48
