,Date,Open,High,Low,Pct_Change,Close/Last,Volume
1722,2022-01-19,"3,281.84","3,297.87","3,273.96",0.12,3283.94,213.11M
1723,2022-01-20,"3,282.91","3,298.09","3,269.45",0.33,3294.82,190.52M
1724,2022-01-21,"3,291.28","3,298.94","3,281.58",0.0,3294.86,193.35M
1725,2022-01-24,"3,268.19","3,294.22","3,266.15",-0.35,3283.35,198.73M
1726,2022-01-25,"3,264.11","3,267.55","3,235.17",-1.08,3247.76,329.83M
1727,2022-01-26,"3,253.81","3,280.48","3,250.21",0.73,3271.57,210.96M
1728,2022-01-27,"3,257.22","3,262.57","3,240.56",-0.35,3260.03,314.17M
1729,2022-01-28,"3,261.05","3,272.59","3,245.15",-0.42,3246.33,389.82M
1730,2022-01-31,"3,250.55","3,276.31","3,245.67",0.1,3249.59,192.34M
1731,2022-02-03,"3,302.23","3,327.11","3,290.29",2.04,3315.99,417.55M
1732,2022-02-04,"3,315.37","3,332.92","3,309.52",0.47,3331.41,280.55M
1733,2022-02-07,"3,328.64","3,366.48","3,327.63",1.05,3366.48,266.40M
1734,2022-02-08,"3,380.02","3,411.51","3,373.04",1.05,3401.74,348.44M
1735,2022-02-09,"3,397.05","3,420.04","3,394.03",0.54,3420.04,258.67M
1736,2022-02-10,"3,420.63","3,435.68","3,403.95",0.23,3428.0,295.57M
1737,2022-02-11,"3,414.45","3,438.07","3,411.87",0.03,3428.95,252.75M
1738,2022-02-14,"3,419.52","3,434.51","3,403.41",-0.23,3421.2,260.44M
1739,2022-02-15,"3,418.23","3,425.62","3,407.37",0.01,3421.38,347.82M
1740,2022-02-16,"3,418.44","3,442.61","3,407.44",0.52,3439.3,264.58M
1741,2022-02-17,"3,451.42","3,466.23","3,441.57",0.07,3441.57,350.04M
1742,2022-02-18,"3,432.86","3,447.39","3,427.66",-0.37,3428.9,283.56M
1743,2022-02-21,"3,421.95","3,438.53","3,417.89",0.22,3436.36,167.74M
1744,2022-02-22,"3,416.90","3,421.40","3,394.79",-1.04,3400.58,252.14M
1745,2022-02-23,"3,379.94","3,401.12","3,371.99",-0.22,3393.0,257.98M
1746,2022-02-24,"3,351.24","3,363.17","3,248.93",-3.45,3276.06,563.24M
1747,2022-02-25,"3,286.72","3,332.66","3,286.72",0.56,3294.47,414.16M
1748,2022-02-28,"3,298.52","3,301.08","3,214.93",-1.59,3242.24,572.92M
1749,2022-03-01,"3,262.49","3,288.38","3,260.96",1.12,3278.63,336.18M
1750,2022-03-02,"3,262.05","3,279.97","3,243.94",-1.04,3244.4,338.33M
1751,2022-03-03,"3,264.96","3,273.99","3,253.65",0.29,3253.65,238.41M
1752,2022-03-04,"3,235.29","3,253.14","3,207.83",-0.83,3226.78,302.40M
1753,2022-03-07,"3,205.30","3,222.61","3,186.01",-1.21,3187.82,353.74M
1754,2022-03-08,"3,175.29","3,182.35","3,128.06",-1.22,3148.86,355.73M
1755,2022-03-09,"3,136.80","3,203.38","3,136.49",1.48,3195.38,262.59M
1756,2022-03-10,"3,231.89","3,258.94","3,227.61",1.42,3240.73,293.90M
1757,2022-03-11,"3,230.28","3,251.34","3,217.56",0.28,3249.66,192.22M
1758,2022-03-14,"3,242.74","3,250.82","3,222.00",-0.54,3232.03,241.58M
1759,2022-03-15,"3,236.47","3,265.90","3,227.88",0.12,3236.04,312.49M
1760,2022-03-16,"3,276.47","3,298.14","3,262.15",1.7,3290.9,299.06M
1761,2022-03-17,"3,341.03","3,345.92","3,294.78",0.97,3322.71,294.54M
1762,2022-03-18,"3,333.23","3,346.37","3,313.87",0.24,3330.63,402.48M
1763,2022-03-21,"3,345.86","3,355.51","3,330.33",0.75,3355.51,323.58M
1764,2022-03-22,"3,349.54","3,365.60","3,343.42",-0.16,3350.17,244.61M
1765,2022-03-23,"3,359.92","3,370.80","3,357.48",0.42,3364.26,221.14M
